ref_id,TC_1,TC_2,TC_3
CoV|QHR63260.2.BC2,4861,8814,7307
CoV|QHR63260.3.BC2,10307,11725,13187
CoV|QHR63260.4.BC2,9733,8827,11473
CoV|QHR63260.5.BC2,19319,18210,14838
CoV|QHR63260.6.BC2,14061,16759,17397
CoV|QHR63260.7.BC2,34542,24849,28465
CoV|QHR63260.8.BC2,9214,15506,14701
CoV|QHR63260.9.BC2,15753,13658,16048
CoV|QHR63260.10.BC2,20465,17963,23479
CoV|QHR63260.11.BC2,29619,16396,20732
CoV|QHR63260.12.BC2,13323,14116,14886
CoV|QHR63260.13.BC2,26966,33310,35287
CoV|QHR63260.14.BC2,15437,17260,18146
CoV|QHR63260.15.BC2,20970,21825,26764
CoV|QHR63260.16.BC2,24594,25426,26710
CoV|QHR63260.17.BC2,8992,11160,15814
CoV|QHR63260.18.BC2,10395,8171,14055
CoV|QHR63260.19.BC2,43048,48579,39389
CoV|QHR63260.20.BC2,11616,10909,10028
CoV|QHR63260.21.BC2,24530,30690,34303
CoV|QHR63260.22.BC2,48472,44738,54833
CoV|QHR63260.23.BC2,49623,61574,54734
CoV|QHR63260.24.BC2,8034,3712,4114
CoV|QHR63260.25.BC2,4075,1684,3148
CoV|QHR63260.26.BC2,28983,33545,30765
CoV|QHR63260.27.BC2,6019,8694,10702
CoV|QHR63260.28.BC2,24806,27589,23366
CoV|QHR63260.29.BC2,50733,44264,45070
CoV|QHR63260.30.BC2,10017,11179,18029
CoV|QHR63260.31.BC2,18423,18714,20959
CoV|QHR63260.32.BC2,17656,13108,19637
CoV|QHR63260.33.BC2,9456,12035,8682
CoV|QHR63260.34.BC2,7567,11628,10254
CoV|QHR63260.35.BC2,25393,27745,23207
CoV|QHR63260.36.BC2,9206,12890,16363
CoV|QHR63260.37.BC2,18715,17630,19482
CoV|QHR63260.38.BC2,10155,12477,12104
CoV|QHR63260.39.BC2,24010,22374,32861
CoV|QHR63260.40.BC2,31573,43946,42740
CoV|QHR63260.41.BC2,5368,7995,6362
CoV|QHR63260.42.BC2,13407,15594,19937
CoV|QHR63260.43.BC2,10008,16468,20269
CoV|QHR63260.44.BC2,17241,13866,18002
CoV|QHR63265.0.BC2,23174,30379,25834
CoV|QHR63265.1.BC2,36433,41474,44468
CoV|QHR63265.2.BC2,37083,40644,38859
CoV|QHR63265.3.BC2,35349,31867,38504
CoV|QHR63267.0.BC2,14590,22826,28525
CoV|QHR63267.1.BC2,7757,10296,16550
CoV|QHR63267.2.BC2,11816,20824,22815
CoV|QHR63267.3.BC2,18390,12131,20805
CoV|QHR63261.0.BC2,9119,11161,10325
CoV|QHR63261.1.BC2,33436,24072,32456
CoV|QHR63261.2.BC2,26816,23284,32424
CoV|QHR63261.3.BC2,29958,30577,32975
CoV|QHR63261.4.BC2,5958,6477,9124
CoV|QHR63261.5.BC2,11019,11586,11410
CoV|QHR63261.6.BC2,18836,17422,21107
CoV|QHR63261.7.BC2,4276,5692,5957
CoV|QHR63261.8.BC2,15086,15461,15897
CoV|QHR63264.0.BC2,6443,9303,11492
CoV|QHR63264.1.BC2,3728,7061,8799
CoV|QHQ82467.0.BC2,40784,36560,51028
CoV|QHQ82467.1.BC2,35924,32564,36078
CoV|QHQ82467.2.BC2,27172,28205,29174
CoV|QHQ82467.3.BC2,14641,16829,19222
CoV|QHQ82467.4.BC2,13393,15678,16066
CoV|QHQ82467.5.BC2,18969,24420,24674
